UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100071,0,11,89,PR101609,ANDROID,PR100888,0,0
U100072,0,0,66,Product101,ANDROID,Product101,0,0
U100073,2,1,85,PR100178,WINDOWS,Product101,2,0
U100074,0,1,46,PR100341,LINUX,PR100153,0,0
U100075,2,2,465,PR100189,LINUX,PR101618,2,0
U100076,1,3,85,PR100025,ANDROID,PR100025,2,0
U100077,0,5,1058,PR100134,ANDROID,PR103305,0,0
U100078,3,7,75,PR101529,ANDROID,PR101686,2,1
U100079,3,5,47,PR100199,MAC OS X,PR100199,4,36
U100080,5,8,252,PR100030,WINDOWS,PR100036,9,30
U100081,5,35,699,PR100200,WINDOWS,PR100172,47,49
U100082,2,6,130,PR100069,WINDOWS,PR100001,4,1
U100083,3,4,138,PR100003,WINDOWS,PR100048,4,4
U100084,2,8,58,PR101637,ANDROID,PR100017,7,1
U100085,2,4,67,PR100994,WINDOWS,PR100099,2,0
U100086,0,0,378,Product101,WINDOWS,PR100901,0,0
U100088,2,16,45,PR100166,UBUNTU,PR100123,5,3
U100089,7,10,0,PR101975,ANDROID,PR100739,12,4
U100090,3,12,746,PR100301,MAC OS X,PR100272,4,1
U100091,2,12,108,PR100363,WINDOWS,PR103835,21,37
U100092,1,4,475,PR100667,MAC OS X,PR100900,3,42
U100093,1,3,61,PR100059,WINDOWS,PR100060,4,28
U100094,0,0,110,Product101,WINDOWS,PR100274,0,0
U100095,5,14,1146,PR100400,MAC OS X,Product101,9,8
U100096,7,26,836,PR100098,WINDOWS,PR100217,58,6
U100097,1,1,75,PR100019,WINDOWS,PR100146,0,1
U100098,1,14,233,PR100166,WINDOWS,PR100123,2,3
U100100,2,4,82,PR100086,WINDOWS,PR100086,2,14
U100101,1,1,1441,PR100438,WINDOWS,PR100438,1,0
U100102,5,18,87,PR100390,MAC OS X,PR101012,32,41
U100103,0,1,44,PR100444,WINDOWS,PR100444,0,0
U100104,0,0,1173,Product101,WINDOWS,PR101559,0,0
U100105,4,3,314,PR100390,WINDOWS,PR100390,10,11
U100109,1,2,43,PR100025,ANDROID,PR102998,2,1
U100110,4,7,447,PR101366,WINDOWS,PR100010,3,2
U100111,0,0,348,Product101,WINDOWS,Product101,0,0
U100112,3,3,71,PR100210,ANDROID,PR100210,2,0
U100113,1,6,163,Product101,WINDOWS,Product101,3,7
U100115,1,11,50,PR100134,MAC OS X,PR101123,3,35
U100116,0,0,48,Product101,MAC OS X,PR100036,0,0
U100117,0,0,161,Product101,ANDROID,PR100325,0,0
U100118,4,8,116,PR100390,WINDOWS,PR100390,14,12
U100119,1,1,796,PR100146,WINDOWS,PR100142,1,0
U100122,0,0,59,Product101,WINDOWS,PR100885,0,0
U100123,1,1,244,PR100876,MAC OS X,PR100876,1,0
U100125,1,3,547,PR100102,ANDROID,PR100166,1,0
U100126,1,2,82,PR101686,ANDROID,PR102602,1,0
U100127,0,0,122,Product101,IOS,Product101,0,0
U100129,1,1,788,PR100137,MAC OS X,PR100137,1,1
U100130,1,1,60,PR100102,WINDOWS,PR100102,2,0
U100131,1,1,109,PR100073,ANDROID,PR100095,1,0
U100132,1,2,77,PR100340,WINDOWS,PR100019,0,2
U100134,2,10,485,PR100017,WINDOWS,PR100498,3,0
U100136,4,12,155,PR100822,WINDOWS,PR100022,16,47
U100137,0,1,48,PR100469,WINDOWS,PR100469,0,0
U100138,3,7,141,PR100047,WINDOWS,PR100060,6,7
U100139,3,7,321,PR100003,WINDOWS,PR100636,6,2
U100141,2,6,57,PR100316,WINDOWS,PR100076,4,8
U100142,2,4,455,PR100162,WINDOWS,PR100017,4,4
U100144,0,4,66,PR100935,WINDOWS,PR100013,0,0
U100145,6,8,112,PR100390,MAC OS X,PR100390,12,29
U100146,0,1,116,PR100102,ANDROID,Product101,0,0
U100149,1,1,296,PR100500,ANDROID,PR100500,1,1
U100150,1,2,229,PR101312,ANDROID,PR102189,2,0
U100151,3,7,319,PR100279,WINDOWS,PR100273,2,7
U100152,2,4,751,PR100758,WINDOWS,PR100103,4,11
U100156,2,2,149,PR100618,ANDROID,PR100812,0,1
U100157,1,1,157,PR100355,WINDOWS,PR100355,1,1
U100158,2,14,1190,PR100051,WINDOWS,PR105824,9,5
U100159,2,2,286,PR100014,ANDROID,Product101,1,0
U100161,1,2,425,PR100279,WINDOWS,PR100279,0,0
U100162,4,6,945,PR101003,MAC OS X,PR101003,10,7
U100163,4,12,1545,PR100390,MAC OS X,PR102804,9,10
U100164,5,11,182,PR100166,WINDOWS,PR100390,50,63
U100165,0,0,125,Product101,ANDROID,PR100023,0,0
U100166,1,1,52,PR100130,ANDROID,PR100130,1,0
U100167,6,26,247,PR100051,WINDOWS,PR100655,20,17
U100168,3,5,993,PR100017,ANDROID,Product101,3,2
U100169,4,5,235,PR100654,WINDOWS,PR100654,3,4
U100170,1,1,63,PR100279,WINDOWS,PR100279,1,0
U100171,2,1,110,PR100470,ANDROID,PR100470,3,2
U100173,2,6,43,PR100578,WINDOWS,PR100885,2,2
U100174,5,3,129,PR100051,WINDOWS,PR100051,8,3
U100175,2,2,1920,PR100226,WINDOWS,Product101,0,8
U100176,4,13,111,PR100102,ANDROID,PR103636,5,34
U100177,2,7,185,PR100475,WINDOWS,PR100166,9,5
U100178,1,1,2140,PR100039,ANDROID,PR100633,0,1
U100179,2,6,160,PR100120,WINDOWS,PR100401,10,7
U100180,2,11,84,Product101,WINDOWS,PR100515,8,8
U100181,2,29,265,Product101,MAC OS X,PR101792,15,0
U100182,0,0,48,Product101,ANDROID,Product101,0,0
U100183,1,1,106,PR100500,WINDOWS,PR100500,1,1
U100184,0,2,124,PR100189,WINDOWS,PR100513,0,0
U100185,1,1,109,PR100010,ANDROID,Product101,0,0
U100186,0,3,57,PR100147,ANDROID,PR100145,0,0
U100187,2,3,334,PR100767,ANDROID,PR100767,4,22
U100188,6,10,203,PR100852,WINDOWS,PR100852,12,8
U100190,1,1,697,PR100279,WINDOWS,PR101482,1,0
U100191,4,7,86,PR102519,ANDROID,PR100234,8,1
U100192,0,0,121,Product101,WINDOWS,PR100017,0,0
U100193,2,6,371,PR100470,WINDOWS,PR100417,4,20
U100194,1,2,51,PR101111,ANDROID,PR101111,1,0
U100197,0,1,859,PR100459,MAC OS X,Product101,0,0
U100198,2,6,480,PR102075,WINDOWS,Product101,2,6
U100200,0,1,394,PR100298,WINDOWS,PR100298,0,0
U100203,2,2,281,PR100549,MAC OS X,PR100549,3,2
U100204,1,1,323,PR100113,WINDOWS,PR105130,2,4
U100205,4,1,42,PR100023,WINDOWS,PR100023,4,5
U100207,2,5,141,PR100135,WINDOWS,PR100307,1,1
U100208,1,6,43,PR100636,MAC OS X,PR101707,1,3
U100209,2,4,182,PR100070,WINDOWS,Product101,7,1
U100210,3,11,370,PR100133,WINDOWS,PR100430,3,3
U100211,1,4,52,PR100945,ANDROID,PR100320,2,1
U100213,1,2,177,PR100054,WINDOWS,PR100374,1,0
U100214,2,2,155,PR100116,WINDOWS,PR100359,2,1
U100215,0,0,163,Product101,LINUX,PR100037,0,0
U100216,0,1,862,PR101594,MAC OS X,PR100146,0,0
U100217,1,3,269,PR100086,MAC OS X,PR100202,1,6
U100218,0,1,43,PR105462,ANDROID,Product101,0,0
U100219,1,2,435,Product101,WINDOWS,PR101702,2,1
U100220,4,9,497,PR100743,WINDOWS,PR100446,13,123
U100221,4,4,206,PR100182,ANDROID,PR100182,6,0
U100223,1,3,355,PR100321,WINDOWS,PR100745,0,78
U100224,1,1,62,PR100039,ANDROID,PR100039,1,0
U100225,0,1,1188,PR100432,MAC OS X,PR100432,0,0
U100226,2,2,160,PR100591,WINDOWS,PR100591,1,4
U100228,1,3,169,PR100282,ANDROID,PR100282,1,0
U100229,1,1,63,PR101273,ANDROID,PR101380,1,0
U100231,4,10,123,PR102405,WINDOWS,PR100231,6,35
U100232,1,4,979,PR100102,WINDOWS,PR100182,2,4
U100233,1,4,238,PR100339,WINDOWS,PR100339,2,0
U100234,2,2,363,PR100113,WINDOWS,PR100113,4,2
U100235,2,1,1078,PR100438,WINDOWS,PR100438,2,1
U100236,0,1,263,PR100258,ANDROID,PR100258,0,0
U100238,0,2,276,PR100041,WINDOWS,PR100102,0,0
U100239,1,4,2047,Product101,LINUX,PR101287,1,0
U100241,0,1,74,PR100166,ANDROID,PR100166,0,0
U100242,2,4,54,PR100593,ANDROID,PR101377,4,12
U100243,6,24,322,PR100123,ANDROID,PR100739,26,15
U100245,4,13,1866,PR100593,ANDROID,Product101,23,18
U100246,3,1,307,PR100975,ANDROID,Product101,3,0
U100248,3,3,1077,Product101,ANDROID,Product101,4,0
U100249,1,1,425,PR100788,ANDROID,PR100788,1,1
U100250,1,6,47,PR101041,WINDOWS,PR100432,0,2
U100251,2,2,1453,PR100118,WINDOWS,PR100762,3,0
U100255,6,5,73,PR100051,MAC OS X,PR100051,12,5
U100256,0,0,900,Product101,ANDROID,PR100413,0,0
U100257,1,1,100,PR100401,WINDOWS,PR100401,1,2
U100258,1,5,210,PR100515,WINDOWS,PR100166,2,3
U100259,4,14,1975,PR101701,ANDROID,PR100524,13,1
U100260,2,1,86,Product101,ANDROID,Product101,2,0
U100261,0,4,656,PR100510,WINDOWS,PR100241,0,0
U100262,1,0,49,Product101,WINDOWS,Product101,1,0
U100263,1,1,126,PR100697,ANDROID,Product101,0,1
U100264,5,2,308,PR100143,ANDROID,PR100143,6,0
U100265,1,3,547,PR100102,ANDROID,PR100010,1,0
U100266,2,8,102,PR100540,WINDOWS,PR100206,2,1
U100267,4,24,185,PR101042,WINDOWS,PR101367,62,845
U100268,5,9,934,PR101744,WINDOWS,PR101366,14,9
U100269,1,2,0,PR100997,IOS,PR100997,2,1
U100270,1,2,450,PR100138,WINDOWS,PR100138,1,0
U100271,0,1,517,PR100226,ANDROID,PR100226,0,0
U100272,2,2,70,PR100166,ANDROID,PR100166,2,3
U100273,3,15,128,PR100294,WINDOWS,PR100457,3,5
U100274,6,10,186,PR100176,WINDOWS,PR100912,18,6
U100275,1,2,767,PR101680,ANDROID,PR101680,1,1
U100276,0,21,556,PR100246,WINDOWS,PR109842,0,0
U100277,0,0,210,Product101,WINDOWS,PR100060,0,0
U100278,3,3,664,PR100945,ANDROID,PR100023,4,0
U100279,5,5,192,PR100702,WINDOWS,PR101049,9,44
U100280,0,0,117,Product101,WINDOWS,PR100340,0,0
U100281,0,2,836,PR100806,ANDROID,PR100720,0,0
U100282,0,3,58,PR100269,WINDOWS,PR100126,0,0
U100283,0,0,296,Product101,WINDOWS,PR100850,0,0
U100284,1,2,52,PR100073,ANDROID,PR100073,1,0
U100286,0,1,836,PR100102,LINUX,Product101,0,0
U100288,2,2,71,PR100633,ANDROID,PR100039,2,0
U100290,1,2,148,PR100735,MAC OS X,PR101257,0,11
U100291,3,3,47,PR100054,WINDOWS,PR100466,2,1
U100292,1,4,105,PR100301,WINDOWS,PR100086,2,2
U100293,1,5,369,PR100101,WINDOWS,PR100101,0,2
U100294,0,3,319,PR100401,WINDOWS,PR100416,0,0
U100295,1,2,727,PR100390,WINDOWS,PR100166,1,1
U100297,4,11,928,PR100017,WINDOWS,PR100908,9,1
U100298,1,1,52,PR100350,WINDOWS,Product101,1,17
U100300,0,1,416,PR101058,ANDROID,Product101,0,0
U100301,2,9,858,PR100051,WINDOWS,PR101164,9,10
U100302,7,46,1026,PR100767,MAC OS X,PR101312,32,28
U100303,1,0,122,Product101,WINDOWS,PR100072,1,0
U100304,3,5,93,PR100152,MAC OS X,PR100017,6,30
U100305,2,2,638,PR100308,WINDOWS,PR100219,2,1
U100306,1,1,214,PR100000,MAC OS X,PR100000,1,0
U100308,0,0,1499,Product101,MAC OS X,Product101,0,0
U100309,3,4,44,PR100102,ANDROID,PR100404,2,18
U100310,7,4,734,PR100023,WINDOWS,PR100030,6,125
U100311,0,2,286,PR100340,MAC OS X,PR100340,0,0
U100313,0,2,1037,PR101293,WINDOWS,PR100017,0,0
U100315,5,8,570,PR101477,WINDOWS,PR100081,4,4
U100316,4,10,71,PR100105,WINDOWS,PR100187,9,15
U100317,0,1,1725,PR100166,WINDOWS,PR100166,0,0
U100318,3,3,733,PR101273,WINDOWS,PR101273,4,0
U100319,2,5,2029,PR100023,ANDROID,PR100023,4,0
U100321,2,4,48,PR100225,WINDOWS,PR100363,2,1
U100323,3,2,373,PR101483,WINDOWS,PR101483,3,3
U100324,1,1,61,PR100401,ANDROID,PR100401,1,1
U100328,1,1,78,PR100430,ANDROID,PR100430,3,0
U100329,2,4,290,PR100102,MAC OS X,PR100017,3,10
U100330,0,1,212,PR100020,WINDOWS,PR100020,0,0
U100331,1,1,86,PR100039,ANDROID,PR100039,1,1
U100333,1,2,389,PR100069,WINDOWS,PR100041,1,0
U100334,1,2,0,PR102194,WINDOWS,PR100751,1,2
U100336,0,2,76,PR100446,WINDOWS,PR100017,0,0
U100337,1,9,174,PR100017,WINDOWS,PR100363,1,1
U100338,1,1,660,PR100498,ANDROID,PR100498,2,0
U100340,0,0,1040,Product101,MAC OS X,Product101,0,0
U100341,1,4,2256,PR101249,WINDOWS,PR102072,1,0
U100342,0,5,672,PR100390,WINDOWS,PR100988,0,0
U100343,1,3,132,PR100246,WINDOWS,PR101141,1,1
U100344,0,1,95,PR100017,WINDOWS,PR100017,0,0
U100345,1,1,43,PR100901,WINDOWS,Product101,0,1
U100346,3,5,1767,PR101761,ANDROID,PR101761,5,0
U100347,7,68,340,PR101042,MAC OS X,PR101042,333,6253
U100349,2,3,818,PR100438,WINDOWS,PR100130,1,1
U100351,6,18,369,PR100152,WINDOWS,PR100908,19,155
U100352,0,0,386,Product101,WINDOWS,Product101,0,0
U100353,3,9,153,PR101233,WINDOWS,PR104638,3,6
U100354,5,17,803,PR100390,WINDOWS,PR100390,39,69
U100355,2,1,435,PR100676,ANDROID,PR100676,3,0
U100356,0,0,78,Product101,ANDROID,PR100023,0,0
U100358,2,1,199,PR100102,ANDROID,Product101,3,0
U100359,1,1,359,PR101422,WINDOWS,PR101422,1,1
U100360,1,2,520,PR100938,ANDROID,PR100938,2,0
U100362,0,1,1109,PR100753,WINDOWS,PR100753,0,0
U100363,2,2,83,PR100073,ANDROID,PR100258,2,0
U100364,0,1,309,PR100152,WINDOWS,Product101,0,0
U100365,2,5,534,PR100044,WINDOWS,Product101,7,5
U100366,1,2,1582,Product101,WINDOWS,PR100200,2,0
U100367,2,6,956,PR100868,WINDOWS,PR105764,3,0
U100368,0,0,56,Product101,WINDOWS,PR100321,0,0
U100369,0,3,349,PR100064,WINDOWS,PR100577,0,0
U100370,2,2,108,PR100312,WINDOWS,PR100085,5,0
U100371,0,0,79,Product101,ANDROID,Product101,0,0
U100372,1,1,821,PR100676,ANDROID,PR100676,1,0
U100374,6,1,95,PR100166,WINDOWS,PR100166,35,0
U100375,1,1,48,PR100366,ANDROID,PR100366,0,0
U100376,1,1,1654,PR100152,WINDOWS,Product101,0,0
U100377,3,17,677,PR100086,WINDOWS,PR100578,3,24
U100378,1,1,291,PR100044,ANDROID,PR100044,1,0
U100379,1,2,1121,PR100102,ANDROID,PR100102,0,2
U100380,4,1,717,PR100036,ANDROID,PR100036,5,1
U100381,4,5,49,PR101042,WINDOWS,PR101707,12,123
U100382,6,22,117,PR101876,WINDOWS,Product101,10,50
U100383,5,11,177,PR100098,ANDROID,PR100674,9,1
U100384,0,3,56,PR100020,WINDOWS,PR100020,0,0
U100386,2,2,319,PR100771,WINDOWS,PR100102,2,0
U100387,4,8,102,PR101590,MAC OS X,PR100390,6,7
U100388,3,5,54,PR100676,ANDROID,PR100739,4,0
U100389,1,2,77,PR100199,LINUX,PR100654,1,0
U100390,4,19,78,PR100287,WINDOWS,PR102697,23,24
U100391,4,4,67,PR100166,WINDOWS,PR100166,4,5
U100394,4,6,213,PR100390,UBUNTU,PR100390,2,4
U100396,3,5,407,PR100320,WINDOWS,PR100066,3,0
U100397,0,0,115,Product101,WINDOWS,PR100960,0,0
U100398,6,29,666,PR100400,WINDOWS,Product101,19,30
U100399,2,2,592,PR100159,ANDROID,PR100369,2,1
U100400,2,1,90,PR100036,WINDOWS,PR100036,1,0
U100401,0,3,1147,PR100498,WINDOWS,PR100498,0,0
U100402,1,1,69,PR100612,LINUX,PR100612,1,0
U100403,0,2,58,PR100141,ANDROID,PR100141,0,0
U100405,5,17,177,PR100136,WINDOWS,PR102009,14,3
U100406,3,3,52,PR100978,ANDROID,PR100413,2,1
U100407,1,9,641,PR100390,WINDOWS,PR100390,3,4
U100408,0,1,1198,PR100550,WINDOWS,Product101,0,0
U100409,0,1,105,PR100102,WINDOWS,PR101814,0,0
U100410,6,18,872,PR101042,WINDOWS,PR101367,31,197
U100411,3,6,2256,PR100359,WINDOWS,PR100997,2,12
U100412,1,1,306,PR101216,WINDOWS,PR101216,1,0
U100413,2,8,382,PR101760,ANDROID,PR100263,9,8
U100414,1,3,89,PR100352,ANDROID,PR100723,2,1
U100415,2,3,60,PR100515,WINDOWS,PR100551,1,13
U100416,1,1,387,PR100039,ANDROID,PR100039,1,0
U100417,3,3,192,PR100119,WINDOWS,PR100350,3,0
U100418,4,2,1754,PR100390,WINDOWS,PR100072,5,0
U100420,4,5,73,PR100792,WINDOWS,Product101,8,0
U100421,1,2,53,PR100027,ANDROID,PR102009,0,0
U100422,1,1,291,PR100560,WINDOWS,PR102072,1,0
U100423,6,8,310,PR100390,WINDOWS,PR100200,18,15
U100425,3,9,81,PR100390,WINDOWS,PR100390,7,8
U100427,1,3,48,PR100070,MAC OS X,PR100047,1,1
U100428,1,1,1108,PR100200,ANDROID,PR100200,1,3
U100429,1,1,623,PR100047,WINDOWS,PR100406,1,0
U100430,1,0,78,Product101,WINDOWS,Product101,2,2
U100431,0,0,52,Product101,WINDOWS,PR100661,0,0
U100433,3,4,53,PR100182,ANDROID,PR100612,2,0
U100434,2,6,576,PR100291,WINDOWS,Product101,5,28
U100435,0,0,382,Product101,ANDROID,PR100153,0,0
U100436,2,2,1518,PR100102,ANDROID,Product101,6,0
U100439,4,1,167,PR100515,UBUNTU,PR100515,7,0
U100440,1,1,121,PR101211,UBUNTU,PR101211,1,1
U100441,0,2,1540,PR100130,WINDOWS,PR100130,0,0
U100443,5,3,326,PR100390,WINDOWS,Product101,18,13
U100445,0,1,60,PR100017,ANDROID,PR100017,0,0
U100446,1,2,223,PR100592,ANDROID,PR100592,1,0
U100447,3,5,449,Product101,WINDOWS,PR100000,7,0
U100449,5,6,416,PR100166,WINDOWS,PR100166,6,13
U100450,5,3,244,PR100712,WINDOWS,PR100712,8,6
U100451,0,1,326,PR100106,WINDOWS,PR100106,0,0
U100452,1,2,209,PR101267,ANDROID,PR100121,2,0
U100453,1,3,313,PR100166,LINUX,PR100166,2,3
U100454,3,97,239,Product101,WINDOWS,PR102182,15,17
U100455,2,2,229,PR100743,ANDROID,PR100743,3,1
U100457,2,3,189,PR100457,WINDOWS,PR100194,0,42
U100458,1,1,761,PR100321,ANDROID,PR100321,1,0
U100459,2,4,66,PR100182,ANDROID,PR100010,3,1
U100460,2,7,128,PR101042,WINDOWS,PR101042,13,19
U100461,4,1,50,PR100060,WINDOWS,Product101,8,2
U100462,0,0,1195,Product101,ANDROID,PR100675,0,0
U100463,2,3,78,PR100190,WINDOWS,PR100513,2,9
U100464,0,29,267,PR100390,WINDOWS,PR100348,0,0
U100465,4,7,481,PR100166,WINDOWS,PR100166,11,6
U100466,1,2,812,PR100115,ANDROID,PR101381,0,0
U100467,2,3,95,PR100102,WINDOWS,PR100287,1,4
U100469,0,0,88,Product101,WINDOWS,Product101,0,0
U100470,0,0,354,Product101,WINDOWS,Product101,0,0
U100471,4,9,142,PR101251,WINDOWS,PR100298,6,2
U100472,1,1,85,PR100054,MAC OS X,PR100054,1,0
U100473,2,6,294,PR100606,WINDOWS,PR100430,2,9
U100474,1,6,89,PR100483,WINDOWS,PR100283,3,4
U100475,6,2,744,PR101679,ANDROID,Product101,7,0
U100476,1,3,389,PR100017,ANDROID,PR101637,1,0
U100477,2,4,1023,PR101474,WINDOWS,PR100841,1,1
U100478,1,2,889,PR100994,WINDOWS,PR100250,2,0
U100480,1,8,1424,PR100630,WINDOWS,PR100630,10,5
U100482,0,0,370,Product101,WINDOWS,Product101,0,0
U100483,0,5,0,PR100166,WINDOWS,PR100166,0,0
U100485,0,3,304,PR100166,WINDOWS,PR100166,0,0
U100486,0,1,142,PR100166,WINDOWS,PR100166,0,0
U100487,1,4,156,PR100144,WINDOWS,PR100232,2,7
U100489,0,4,271,PR100166,WINDOWS,PR100166,0,0
U100490,1,1,55,PR100054,LINUX,PR100054,1,0
U100492,3,28,145,PR100097,WINDOWS,PR107655,15,50
U100493,0,0,62,Product101,WINDOWS,PR100302,0,0
U100494,2,4,315,PR100020,MAC OS X,PR100436,1,15
U100495,0,2,105,Product101,ANDROID,Product101,0,0
U100496,3,3,0,PR100294,WINDOWS,PR100758,4,17
U100497,0,1,64,PR101421,ANDROID,PR101421,0,0
U100498,0,0,145,Product101,WINDOWS,PR100166,0,0
U100499,7,50,474,PR101042,WINDOWS,PR100051,122,2247
U100500,1,8,0,PR100123,ANDROID,PR100390,8,17
U100501,2,6,57,PR100330,WINDOWS,PR100340,3,5
U100502,1,2,74,PR100934,WINDOWS,PR101104,1,0
U100503,6,18,168,PR101042,WINDOWS,PR100072,72,940
U100504,1,7,808,PR100515,WINDOWS,PR100051,7,5
U100506,3,1,114,PR100340,ANDROID,PR100340,3,1
U100507,2,2,296,PR100642,WINDOWS,PR100642,1,5
U100508,1,1,300,PR100012,ANDROID,PR100012,0,1
U100509,1,4,2256,PR102018,WINDOWS,PR100070,6,23
U100510,0,2,379,PR100244,ANDROID,PR101261,0,0
U100511,0,1,1803,PR100151,MAC OS X,Product101,0,0
U100512,0,0,210,Product101,WINDOWS,PR100321,0,0
U100513,0,1,194,PR100348,WINDOWS,PR100567,0,0
U100514,0,1,1445,PR100324,ANDROID,PR100324,0,0
U100515,0,1,436,PR101121,ANDROID,PR100867,0,0
U100516,3,9,2256,PR100994,WINDOWS,PR100013,7,3
U100517,2,7,1171,PR101501,WINDOWS,PR101401,4,0
U100518,0,0,62,Product101,WINDOWS,Product101,0,0
U100519,2,2,179,PR100102,WINDOWS,Product101,2,3
U100523,1,1,82,PR100088,WINDOWS,PR100088,1,2
U100524,1,1,99,PR100872,ANDROID,PR100872,1,0
U100525,0,0,1443,Product101,WINDOWS,Product101,0,0
U100526,3,2,227,PR100263,MAC OS X,Product101,3,0
U100527,1,5,714,PR101734,WINDOWS,PR100390,1,3
U100528,1,2,90,PR100739,ANDROID,PR100430,1,0
U100529,0,1,49,Product101,ANDROID,PR100200,0,0
U100530,2,3,112,PR100073,ANDROID,PR100073,2,4
U100531,1,2,327,PR100063,WINDOWS,PR100108,1,0
U100533,4,3,631,PR100467,LINUX,PR100467,5,0
U100535,0,2,71,PR100850,MAC OS X,PR100850,0,0
U100536,1,1,522,PR100102,ANDROID,PR101814,1,0
U100537,0,0,398,Product101,WINDOWS,PR100325,0,0
U100539,0,0,94,Product101,WINDOWS,PR100432,0,0
U100541,1,2,100,PR100102,WINDOWS,PR101724,1,1
U100542,5,3,1940,PR101611,ANDROID,PR101280,15,5
U100543,1,5,1093,PR100974,WINDOWS,Product101,0,3
U100544,1,1,185,PR100613,WINDOWS,PR100613,1,1
U100545,2,2,63,PR100986,ANDROID,PR100895,2,0
U100548,0,1,124,PR100724,WINDOWS,Product101,0,0
U100549,2,3,57,PR100871,ANDROID,PR101320,3,0
U100550,3,9,1090,PR101066,ANDROID,PR100470,5,0
U100552,0,1,111,PR100166,ANDROID,PR100166,0,0
U100553,3,3,1235,PR100895,WINDOWS,PR101146,2,4
U100554,1,4,85,PR100618,ANDROID,PR100962,3,2
U100555,2,3,215,PR100723,ANDROID,PR100723,1,0
